x_coordinate,y_coordinate,radius
27.370034435922598,14.653097199055109,6.855736744758101
37.4269063996373,3.818431664430957,7.430524201109706
37.4269063996373,103.81843166443096,7.430524201109706
23.827432658922937,28.842594257832175,7.108346785536071
22.43500023890663,2.742434393901391,5.50953740548735
22.43500023890663,102.74243439390139,5.50953740548735
39.72497960970942,20.844858972140266,6.324091241779387
11.650433508682879,18.079735165270247,8.709083754530614
52.852603783052544,102.79224048883526,7.295680282404718
52.852603783052544,2.7922404888352617,7.295680282404718
34.65870479962301,87.48034507560683,8.501877478420603
28.57945913587142,44.565445360580654,8.610611234703239
15.049740785945566,38.93110203061914,5.628513285050902
36.685504904530674,32.62666052300209,5.672854272513121
2.889968306129406,44.53874966466753,7.218899209425787
102.8899683061294,44.53874966466753,7.218899209425787
15.845348280798571,50.24363252193194,5.274100374201348
5.801000803349762,31.433349526486914,5.766094483035811
12.32181092130904,95.50199136643691,6.504849518378494
12.32181092130904,-4.498008633563089,6.504849518378494
31.815014366508716,59.84604517576328,6.352013400532814
44.5097586170604,48.76240641527736,7.236144425556544
49.82690194336451,31.925266490693154,7.000520523288402
-1.8113361374620105,-6.657760447834029,7.299270383098802
98.188663862538,-6.657760447834029,7.299270383098802
-1.8113361374620105,93.34223955216598,7.299270383098802
98.188663862538,93.34223955216598,7.299270383098802
97.7577037825849,73.240608190333,8.269883849143055
-2.2422962174151024,73.240608190333,8.269883849143055
82.27986729874377,57.38396052736616,7.4414452090210546
107.9302070883179,63.86745637128976,5.4400307542956305
7.9302070883179,63.86745637128976,5.4400307542956305
54.88294759731255,87.09196764144326,7.955649831547428
65.4635521756399,97.32689966226023,5.922906655163036
65.4635521756399,-2.6731003377397684,5.922906655163036
60.96478619375226,23.434298931587858,6.3391383619790975
60.30432234566029,42.50611933169861,7.364256519043563
68.04599907895499,82.77134803985355,5.328480451682562
50.90532314807548,70.36243650428706,8.608742578842719
84.65995471609989,95.50388186079785,5.81138939904119
84.65995471609989,-4.496118139202153,5.81138939904119
88.70290645006212,84.16271417522819,5.181427076690113
91.4455570430618,104.57632371845912,5.125670107437795
-8.554442956938203,104.57632371845912,5.125670107437795
91.4455570430618,4.576323718459122,5.125670107437795
-8.554442956938203,4.576323718459122,5.125670107437795
69.55030860872279,68.07496091626084,8.495672798934887
72.52591267235884,47.53555546886575,5.7765407241890125
36.63057250069502,72.25328539907933,5.161326698599734
55.02539398661021,56.30062263596531,5.440876884628271
6.819098837319661,83.48373400855529,5.112198110300079
16.358179678431966,76.8607689958501,6.018336350335514
26.140797909466066,70.58123824525015,5.0911638646458295
78.8166050825629,80.87628111884722,5.145518842840052
-6.001613647187554,17.048135821346104,7.189238396187086
93.99838635281245,17.048135821346104,7.189238396187086
78.31407386120013,17.056675597823588,6.733996931859213
73.09602109987273,29.662599047600374,6.723303192030345
50.923852154823756,16.4809011875777,5.356870523575735
